id_fato,id_uf,id_periodo,pct_domicilios_internet,domicilios_com_internet,domicilios_total,domicilios_sem_internet,cv_pct,margem_pp,ic_inferior,ic_superior
56,17,2,69.4,327.0,471.0,144.0,2.0,2.72,66.7,72.1
57,17,3,73.6,360.0,489.0,129.0,1.8,2.6,71.0,76.2
58,17,4,76.4,379.0,496.0,117.0,1.7,2.55,73.9,79.0
59,17,5,87.1,438.0,503.0,65.0,1.7,2.9,84.2,90.0
60,17,6,88.9,456.0,513.0,57.0,1.8,3.14,85.7,92.0
61,17,7,91.7,494.0,539.0,45.0,1.2,2.16,89.5,93.8
62,17,8,93.1,512.0,550.0,38.0,1.2,2.19,90.9,95.3
63,17,9,94.6,543.0,574.0,31.0,1.3,2.41,92.2,97.0
64,21,1,48.7,932.0,1913.0,981.0,1.7,1.62,47.1,50.3
65,21,2,57.4,1119.0,1950.0,831.0,1.3,1.46,55.9,58.8
66,21,3,62.8,1243.0,1979.0,736.0,1.4,1.72,61.1,64.5
67,21,4,68.8,1379.0,2005.0,626.0,1.1,1.48,67.3,70.3
68,21,5,82.6,1672.0,2023.0,351.0,1.2,1.94,80.7,84.6
69,21,6,85.8,1810.0,2109.0,299.0,0.9,1.51,84.3,87.3
70,21,7,86.8,1957.0,2254.0,297.0,0.8,1.36,85.5,88.2
71,21,8,89.4,2040.0,2281.0,241.0,0.7,1.23,88.2,90.7
72,21,9,92.1,2137.0,2320.0,183.0,0.7,1.26,90.9,93.4
73,22,1,54.1,543.0,1004.0,461.0,2.5,2.65,51.4,56.7
74,22,2,58.7,591.0,1006.0,415.0,2.3,2.65,56.1,61.4
75,22,3,62.9,638.0,1015.0,377.0,2.3,2.83,60.0,65.7
76,22,4,68.7,703.0,1023.0,320.0,1.6,2.16,66.6,70.9
77,22,5,81.3,847.0,1042.0,195.0,1.3,2.07,79.2,83.4
78,22,6,86.6,915.0,1057.0,142.0,1.1,1.87,84.7,88.4
79,22,7,89.1,1017.0,1142.0,125.0,1.3,2.27,86.8,91.3
80,22,8,91.0,1051.0,1155.0,104.0,1.1,1.96,89.0,93.0
81,22,9,92.5,1081.0,1169.0,88.0,1.0,1.81,90.7,94.3
82,23,1,56.5,1558.0,2758.0,1200.0,1.4,1.55,54.9,58.0
83,23,2,64.5,1811.0,2806.0,995.0,1.3,1.64,62.9,66.2
84,23,3,70.4,2046.0,2906.0,860.0,1.0,1.38,69.0,71.8
85,23,4,75.9,2189.0,2884.0,695.0,1.0,1.49,74.4,77.4
86,23,5,85.8,2546.0,2967.0,421.0,0.9,1.51,84.3,87.3
87,23,6,88.2,2708.0,3072.0,364.0,0.7,1.21,86.9,89.4
88,23,7,89.5,2897.0,3237.0,340.0,0.8,1.4,88.1,90.9
89,23,8,91.5,3059.0,3344.0,285.0,0.7,1.26,90.2,92.7
90,23,9,92.3,3137.0,3399.0,262.0,0.7,1.27,91.0,93.6
91,24,1,66.3,690.0,1041.0,351.0,1.9,2.47,63.8,68.8
92,24,2,72.0,742.0,1031.0,289.0,1.7,2.4,69.6,74.4
93,24,3,75.1,795.0,1058.0,263.0,1.7,2.5,72.6,77.6
94,24,4,79.5,870.0,1094.0,224.0,1.6,2.49,77.0,82.0
95,24,5,88.2,982.0,1114.0,132.0,1.2,2.07,86.1,90.2
96,24,6,90.1,1043.0,1157.0,114.0,1.3,2.3,87.8,92.4
97,24,7,90.3,1112.0,1231.0,119.0,1.2,2.12,88.2,92.5
98,24,8,92.3,1164.0,1261.0,97.0,1.2,2.17,90.1,94.5
99,24,9,94.4,1215.0,1287.0,72.0,1.0,1.85,92.6,96.3
100,25,1,62.1,768.0,1236.0,468.0,1.8,2.19,59.9,64.3
101,25,2,69.2,870.0,1257.0,387.0,1.5,2.03,67.2,71.2
102,25,3,74.0,940.0,1271.0,331.0,1.4,2.03,71.9,76.0
103,25,4,78.3,1019.0,1302.0,283.0,1.3,1.99,76.3,80.3
104,25,5,84.4,1115.0,1321.0,206.0,1.2,1.99,82.4,86.4
105,25,6,87.9,1219.0,1387.0,168.0,1.1,1.89,86.0,89.8
106,25,7,90.2,1340.0,1486.0,146.0,1.0,1.77,88.4,91.9
107,25,8,91.8,1363.0,1485.0,122.0,1.0,1.8,90.0,93.6
108,25,9,93.3,1408.0,1509.0,101.0,0.9,1.65,91.7,95.0
109,26,1,58.2,1729.0,2971.0,1242.0,2.0,2.28,55.9,60.5
110,26,2,65.0,1983.0,3049.0,1066.0,1.6,2.04,63.0,67.1
111,26,3,73.0,2224.0,3048.0,824.0,1.5,2.15,70.8,75.1
112,26,4,76.4,2409.0,3155.0,746.0,1.5,2.24,74.1,78.6
113,26,5,86.4,2723.0,3151.0,428.0,0.9,1.52,84.9,87.9
114,26,6,87.7,2900.0,3308.0,408.0,1.0,1.72,85.9,89.4
115,26,7,88.9,3106.0,3494.0,388.0,0.8,1.39,87.5,90.3
116,26,8,91.5,3236.0,3537.0,301.0,0.7,1.26,90.2,92.7
117,26,9,92.8,3383.0,3644.0,261.0,0.8,1.46,91.4,94.3
118,27,1,56.8,561.0,988.0,427.0,1.6,1.78,55.0,58.6
119,27,2,60.9,618.0,1015.0,397.0,1.5,1.79,59.1,62.7
120,27,3,68.8,717.0,1042.0,325.0,1.5,2.02,66.8,70.8
121,27,4,74.7,769.0,1029.0,260.0,1.2,1.76,73.0,76.5
122,27,5,86.8,890.0,1025.0,135.0,0.8,1.36,85.5,88.2
123,27,6,89.3,942.0,1055.0,113.0,0.7,1.23,88.1,90.5
124,27,7,89.4,992.0,1109.0,117.0,0.9,1.58,87.9,91.0
125,27,8,91.9,1028.0,1118.0,90.0,0.8,1.44,90.5,93.4
126,27,9,92.2,1066.0,1156.0,90.0,0.9,1.63,90.6,93.8
127,28,1,66.2,477.0,720.0,243.0,2.0,2.6,63.6,68.8
128,28,2,72.9,531.0,728.0,197.0,1.5,2.14,70.8,75.1
129,28,3,78.4,574.0,732.0,158.0,1.3,2.0,76.4,80.4
130,28,4,81.6,609.0,746.0,137.0,1.4,2.24,79.4,83.9
131,28,5,86.3,663.0,768.0,105.0,1.3,2.2,84.1,88.5
132,28,6,88.2,707.0,802.0,95.0,1.4,2.42,85.7,90.6
133,28,7,91.4,759.0,830.0,71.0,1.1,1.97,89.5,93.4
134,28,8,92.4,785.0,850.0,65.0,1.2,2.17,90.2,94.5
135,28,9,93.5,812.0,868.0,56.0,1.1,2.02,91.5,95.6
136,29,1,58.2,2801.0,4810.0,2009.0,1.7,1.94,56.3,60.2
137,29,2,67.1,3227.0,4807.0,1580.0,1.4,1.84,65.3,69.0
138,29,3,71.0,3460.0,4874.0,1414.0,1.2,1.67,69.3,72.7
139,29,4,76.9,3827.0,4978.0,1151.0,1.1,1.66,75.2,78.5
140,29,5,84.8,4293.0,5060.0,767.0,1.0,1.66,83.2,86.5
141,29,6,87.7,4606.0,5250.0,644.0,0.8,1.38,86.4,89.1
142,29,7,89.2,4852.0,5441.0,589.0,0.8,1.4,87.8,90.6
143,29,8,91.4,5119.0,5598.0,479.0,0.7,1.25,90.2,92.7
144,29,9,92.7,5315.0,5731.0,416.0,0.8,1.45,91.3,94.2
145,31,1,71.4,4944.0,6923.0,1979.0,1.1,1.54,69.9,73.0
146,31,2,77.1,5356.0,6950.0,1594.0,0.9,1.36,75.7,78.4
147,31,3,81.0,5747.0,7096.0,1349.0,0.7,1.11,79.9,82.1
148,31,4,84.2,6096.0,7237.0,1141.0,0.7,1.16,83.1,85.4
149,31,5,89.5,6620.0,7397.0,777.0,0.7,1.23,88.3,90.7
150,31,6,91.1,6906.0,7584.0,678.0,0.6,1.07,90.0,92.1
151,31,7,92.8,7286.0,7850.0,564.0,0.6,1.09,91.7,93.9
152,31,8,93.5,7545.0,8066.0,521.0,0.5,0.92,92.6,94.5
153,31,9,94.5,7708.0,8153.0,445.0,0.6,1.11,93.4,95.7
154,32,1,72.9,954.0,1309.0,355.0,1.2,1.71,71.2,74.6
155,32,2,77.1,1020.0,1323.0,303.0,1.0,1.51,75.6,78.6
156,32,3,83.1,1122.0,1350.0,228.0,1.0,1.63,81.5,84.7
157,32,4,86.2,1194.0,1385.0,191.0,0.7,1.18,85.0,87.4
158,32,5,90.3,1290.0,1428.0,138.0,0.8,1.42,88.9,91.8
159,32,6,91.9,1332.0,1450.0,118.0,0.8,1.44,90.4,93.3
160,32,7,92.7,1391.0,1500.0,109.0,0.8,1.45,91.3,94.2
161,32,8,93.3,1431.0,1533.0,102.0,0.9,1.65,91.7,95.0
162,32,9,95.1,1524.0,1603.0,79.0,0.7,1.3,93.8,96.4
163,33,1,78.3,4698.0,5999.0,1301.0,0.7,1.07,77.2,79.4
164,33,2,81.9,5057.0,6176.0,1119.0,0.6,0.96,80.9,82.8
165,33,3,87.4,5414.0,6197.0,783.0,0.6,1.03,86.3,88.4
166,33,4,88.1,5536.0,6282.0,746.0,0.6,1.04,87.1,89.2
167,33,5,92.5,5949.0,6433.0,484.0,0.7,1.27,91.2,93.7
168,33,6,93.5,6045.0,6464.0,419.0,0.6,1.1,92.4,94.6
169,33,7,94.1,6199.0,6589.0,390.0,0.6,1.11,93.0,95.2
170,33,8,94.8,6393.0,6742.0,349.0,0.5,0.93,93.9,95.8
171,33,9,95.6,6551.0,6852.0,301.0,0.6,1.12,94.5,96.7
172,35,1,81.7,12208.0,14950.0,2742.0,0.7,1.12,80.5,82.8
173,35,2,85.8,12939.0,15089.0,2150.0,0.7,1.18,84.6,86.9
174,35,3,88.3,13665.0,15482.0,1817.0,0.7,1.21,87.1,89.5
175,35,4,90.9,14220.0,15640.0,1420.0,0.6,1.07,89.9,92.0
176,35,5,94.2,15012.0,15928.0,916.0,0.7,1.29,93.0,95.5
177,35,6,94.6,15581.0,16462.0,881.0,0.6,1.11,93.5,95.8
178,35,7,95.0,16101.0,16953.0,852.0,0.6,1.12,93.9,96.1
179,35,8,94.8,16439.0,17335.0,896.0,0.5,0.93,93.9,95.8
180,35,9,96.6,17090.0,17696.0,606.0,0.6,1.14,95.4,97.7
181,41,1,71.1,2716.0,3821.0,1105.0,1.1,1.53,69.6,72.6
182,41,2,76.9,2970.0,3861.0,891.0,0.8,1.21,75.7,78.1
183,41,3,82.2,3219.0,3918.0,699.0,0.8,1.29,80.9,83.4
184,41,4,85.8,3401.0,3966.0,565.0,0.7,1.18,84.6,86.9
185,41,5,91.2,3708.0,4064.0,356.0,0.7,1.25,90.0,92.5
186,41,6,92.4,3896.0,4217.0,321.0,0.7,1.27,91.1,93.7
187,41,7,92.8,4019.0,4333.0,314.0,0.7,1.27,91.5,94.0
188,41,8,94.3,4127.0,4378.0,251.0,0.6,1.11,93.2,95.4
189,41,9,95.5,4316.0,4521.0,205.0,0.7,1.31,94.2,96.8
190,42,1,75.1,1818.0,2422.0,604.0,0.9,1.32,73.7,76.4
191,42,2,81.6,2018.0,2473.0,455.0,0.7,1.12,80.5,82.7
192,42,3,85.3,2204.0,2584.0,380.0,0.6,1.0,84.3,86.3
193,42,4,88.3,2320.0,2626.0,306.0,0.6,1.04,87.3,89.4
194,42,5,93.0,2507.0,2697.0,190.0,0.7,1.28,91.7,94.2
195,42,6,94.5,2609.0,2762.0,153.0,0.6,1.11,93.4,95.6
196,42,7,95.4,2791.0,2926.0,135.0,0.7,1.31,94.1,96.7
197,42,8,96.5,2927.0,3033.0,106.0,0.6,1.13,95.4,97.6
198,42,9,97.1,3036.0,3127.0,91.0,0.6,1.14,95.9,98.2
199,43,1,73.4,2937.0,4003.0,1066.0,1.1,1.58,71.8,74.9
200,43,2,77.9,3150.0,4046.0,896.0,0.9,1.37,76.5,79.2
201,43,3,81.7,3343.0,4090.0,747.0,0.9,1.44,80.3,83.2
202,43,4,85.8,3574.0,4166.0,592.0,0.7,1.18,84.6,87.0
203,43,5,91.0,3850.0,4230.0,380.0,0.8,1.43,89.6,92.4
204,43,6,92.7,3995.0,4311.0,316.0,0.7,1.27,91.4,93.9
205,43,7,93.2,4067.0,4363.0,296.0,0.8,1.46,91.8,94.7
206,43,8,94.8,4195.0,4424.0,229.0,0.7,1.3,93.5,96.1
207,43,9,95.2,4300.0,4517.0,217.0,0.6,1.12,94.1,96.3
208,50,1,75.9,666.0,878.0,212.0,1.5,2.23,73.6,78.1
209,50,2,79.7,706.0,886.0,180.0,1.4,2.19,77.5,81.9
210,50,3,85.4,771.0,903.0,132.0,1.2,2.01,83.4,87.4
211,50,4,88.1,797.0,905.0,108.0,1.2,2.07,86.0,90.1
212,50,5,92.3,873.0,946.0,73.0,1.0,1.81,90.5,94.1
213,50,6,93.6,939.0,1003.0,64.0,0.9,1.65,92.0,95.3
214,50,7,95.5,987.0,1034.0,47.0,1.2,2.25,93.2,97.7
215,50,8,95.6,985.0,1030.0,45.0,1.0,1.87,93.8,97.5
216,50,9,95.8,1033.0,1078.0,45.0,1.1,2.07,93.8,97.9
217,51,1,69.4,773.0,1114.0,341.0,1.7,2.31,67.1,71.7
218,51,2,76.8,867.0,1129.0,262.0,1.5,2.26,74.5,79.1
219,51,3,80.2,929.0,1158.0,229.0,1.3,2.04,78.2,82.3
220,51,4,86.0,998.0,1160.0,162.0,1.2,2.02,84.0,88.1
221,51,5,92.4,1123.0,1216.0,93.0,0.9,1.63,90.7,94.0
222,51,6,93.6,1150.0,1229.0,79.0,1.1,2.02,91.6,95.6
223,51,7,94.2,1240.0,1316.0,76.0,1.0,1.85,92.4,96.1
224,51,8,95.7,1299.0,1357.0,58.0,1.4,2.63,93.1,98.4
225,51,9,97.1,1349.0,1390.0,41.0,1.0,1.9,95.2,99.0
226,52,1,73.7,1648.0,2236.0,588.0,1.3,1.88,71.8,75.6
227,52,2,78.8,1824.0,2315.0,491.0,1.0,1.54,77.3,80.3
228,52,3,83.1,1963.0,2362.0,399.0,0.9,1.47,81.6,84.6
229,52,4,85.2,2049.0,2405.0,356.0,0.9,1.5,83.7,86.7
230,52,5,92.5,2278.0,2462.0,184.0,1.0,1.81,90.7,94.3
231,52,6,93.8,2437.0,2598.0,161.0,0.8,1.47,92.3,95.3
232,52,7,95.2,2602.0,2733.0,131.0,1.0,1.87,93.3,97.1
233,52,8,95.5,2645.0,2770.0,125.0,0.9,1.68,93.8,97.2
234,52,9,96.8,2759.0,2849.0,90.0,0.9,1.71,95.1,98.6
235,53,1,90.1,844.0,937.0,93.0,1.6,2.82,87.3,92.9
236,53,2,92.1,885.0,961.0,76.0,1.6,2.89,89.2,95.0
237,53,3,94.7,931.0,983.0,52.0,1.5,2.78,91.9,97.5
238,53,4,94.9,908.0,957.0,49.0,1.4,2.6,92.3,97.5
239,53,5,97.7,941.0,963.0,22.0,1.3,2.49,95.2,100.0
240,53,6,98.4,1008.0,1024.0,16.0,1.5,2.89,95.5,100.0
241,53,7,97.4,1051.0,1079.0,28.0,1.4,2.67,94.7,100.0
242,53,8,98.0,1054.0,1075.0,21.0,1.6,3.07,95.0,100.0
243,53,9,98.3,1084.0,1103.0,19.0,1.3,2.5,95.8,100.0
