id_situacao,id_periodo,ano,escopo,local,situacao,pct_domicilios_internet,domicilios_com_internet,domicilios_total
74,7,2023,Região,Nordeste,Total,89.2,18032.0,20225.0
75,7,2023,Região,Nordeste,Urbana,91.8,14387.0,15677.0
76,8,2024,Região,Nordeste,Rural,84.9,3738.0,4404.0
77,8,2024,Região,Nordeste,Total,91.4,18845.0,20628.0
78,8,2024,Região,Nordeste,Urbana,93.1,15107.0,16224.0
79,9,2025,Região,Nordeste,Rural,86.7,3775.0,4356.0
80,9,2025,Região,Nordeste,Total,92.7,19554.0,21084.0
81,9,2025,Região,Nordeste,Urbana,94.3,15778.0,16727.0
82,1,2016,Região,Norte,Rural,22.9,254.0,1108.0
83,1,2016,Região,Norte,Total,63.3,3055.0,4824.0
84,1,2016,Região,Norte,Urbana,75.4,2801.0,3716.0
85,2,2017,Região,Norte,Rural,27.9,306.0,1097.0
86,2,2017,Região,Norte,Total,69.3,3407.0,4916.0
87,2,2017,Região,Norte,Urbana,81.2,3101.0,3819.0
88,3,2018,Região,Norte,Rural,33.8,377.0,1114.0
89,3,2018,Região,Norte,Total,73.1,3695.0,5058.0
90,3,2018,Região,Norte,Urbana,84.1,3318.0,3944.0
91,4,2019,Região,Norte,Rural,39.9,463.0,1160.0
92,4,2019,Região,Norte,Total,76.9,3967.0,5161.0
93,4,2019,Região,Norte,Urbana,87.6,3505.0,4002.0
94,5,2021,Região,Norte,Rural,58.6,641.0,1093.0
95,5,2021,Região,Norte,Total,85.4,4538.0,5311.0
96,5,2021,Região,Norte,Urbana,92.4,3897.0,4218.0
97,6,2022,Região,Norte,Rural,65.3,724.0,1109.0
98,6,2022,Região,Norte,Total,88.2,4854.0,5502.0
99,6,2022,Região,Norte,Urbana,94.0,4129.0,4393.0
100,7,2023,Região,Norte,Rural,70.4,779.0,1107.0
101,7,2023,Região,Norte,Total,90.4,5206.0,5757.0
102,7,2023,Região,Norte,Urbana,95.2,4427.0,4650.0
103,8,2024,Região,Norte,Rural,76.3,843.0,1105.0
104,8,2024,Região,Norte,Total,92.1,5446.0,5910.0
105,8,2024,Região,Norte,Urbana,95.8,4603.0,4805.0
106,9,2025,Região,Norte,Rural,83.3,895.0,1075.0
107,9,2025,Região,Norte,Total,94.1,5698.0,6056.0
108,9,2025,Região,Norte,Urbana,96.4,4803.0,4981.0
109,1,2016,Região,Sudeste,Rural,45.5,858.0,1887.0
110,1,2016,Região,Sudeste,Total,78.1,22803.0,29181.0
111,1,2016,Região,Sudeste,Urbana,80.4,21946.0,27294.0
112,2,2017,Região,Sudeste,Rural,53.3,996.0,1867.0
113,2,2017,Região,Sudeste,Total,82.5,24373.0,29538.0
114,2,2017,Região,Sudeste,Urbana,84.5,23377.0,27671.0
115,3,2018,Região,Sudeste,Rural,61.7,1165.0,1887.0
116,3,2018,Região,Sudeste,Total,86.1,25948.0,30125.0
117,3,2018,Região,Sudeste,Urbana,87.8,24784.0,28238.0
118,4,2019,Região,Sudeste,Rural,66.7,1260.0,1888.0
119,4,2019,Região,Sudeste,Total,88.5,27046.0,30544.0
120,4,2019,Região,Sudeste,Urbana,90.0,25786.0,28656.0
121,5,2021,Região,Sudeste,Rural,78.4,1545.0,1971.0
122,5,2021,Região,Sudeste,Total,92.6,28870.0,31186.0
123,5,2021,Região,Sudeste,Urbana,93.5,27325.0,29215.0
124,6,2022,Região,Sudeste,Rural,81.1,1570.0,1936.0
125,6,2022,Região,Sudeste,Total,93.4,29864.0,31960.0
126,6,2022,Região,Sudeste,Urbana,94.2,28294.0,30024.0
127,7,2023,Região,Sudeste,Rural,83.8,1560.0,1861.0
128,7,2023,Região,Sudeste,Total,94.2,30977.0,32891.0
129,7,2023,Região,Sudeste,Urbana,94.8,29417.0,31030.0
130,8,2024,Região,Sudeste,Rural,85.1,1485.0,1745.0
131,8,2024,Região,Sudeste,Total,94.5,31809.0,33676.0
132,8,2024,Região,Sudeste,Urbana,95.0,30324.0,31930.0
133,9,2025,Região,Sudeste,Rural,90.1,1615.0,1792.0
134,9,2025,Região,Sudeste,Total,95.8,32873.0,34303.0
135,9,2025,Região,Sudeste,Urbana,96.1,31258.0,32511.0
136,1,2016,Região,Sul,Rural,48.2,657.0,1364.0
137,1,2016,Região,Sul,Total,72.9,7470.0,10245.0
138,1,2016,Região,Sul,Urbana,76.7,6814.0,8881.0
139,2,2017,Região,Sul,Rural,55.4,761.0,1373.0
140,2,2017,Região,Sul,Total,78.4,8138.0,10380.0
141,2,2017,Região,Sul,Urbana,81.9,7377.0,9007.0
142,3,2018,Região,Sul,Rural,64.0,886.0,1385.0
143,3,2018,Região,Sul,Total,82.8,8766.0,10592.0
144,3,2018,Região,Sul,Urbana,85.6,7880.0,9207.0
145,4,2019,Região,Sul,Rural,69.9,964.0,1379.0
146,4,2019,Região,Sul,Total,86.4,9296.0,10757.0
147,4,2019,Região,Sul,Urbana,88.8,8332.0,9378.0
148,5,2021,Região,Sul,Rural,82.3,1216.0,1478.0
149,5,2021,Região,Sul,Total,91.6,10065.0,10992.0
150,5,2021,Região,Sul,Urbana,93.0,8849.0,9514.0
151,6,2022,Região,Sul,Rural,85.3,1239.0,1452.0
152,6,2022,Região,Sul,Total,93.0,10500.0,11290.0
153,6,2022,Região,Sul,Urbana,94.1,9261.0,9837.0
154,7,2023,Região,Sul,Rural,87.2,1186.0,1360.0
155,7,2023,Região,Sul,Total,93.6,10877.0,11622.0
156,7,2023,Região,Sul,Urbana,94.4,9691.0,10262.0
157,8,2024,Região,Sul,Rural,90.3,1148.0,1271.0
158,8,2024,Região,Sul,Total,95.0,11249.0,11835.0
159,8,2024,Região,Sul,Urbana,95.6,10101.0,10564.0
160,9,2025,Região,Sul,Rural,91.2,1201.0,1317.0
161,9,2025,Região,Sul,Total,95.8,11652.0,12166.0
162,9,2025,Região,Sul,Urbana,96.3,10451.0,10849.0
